,ApartmentName,Streetname,NoofBedrooms,NoofBathrooms,Price,Latitude,longitude,Neighborhood
415,16 YONGE ST,16 Yonge St,2,2,"$2,600",43.64325,-79.37636,Waterfront Communities-the Island
422,20 Tubman Ave,20 Tubman Ave,2,2,"$2,750",43.66059,-79.35935,Regent Park
423,20 Tubman Ave,20 Tubman Ave,1,1,"$1,999",43.66059,-79.35935,Regent Park
424,20 Tubman Ave,20 Tubman Ave,1,1,"$2,150",43.66059,-79.35935,Regent Park
425,20 Tubman Ave,20 Tubman Ave,2,2,"$3,200",43.66059,-79.35935,Regent Park
426,35 Trudelle St,35 Trudelle St,1.5,1.5,"$1,800",43.73953,-79.24264,Eglinton East
427,102 Bloor St W ,102 Bloor St W | Unit: 601,1,1,"$3,250",43.6696,-79.39166,Annex
428,15 Hilda Ave,15 Hilda Ave,1,1,$700,43.78498,-79.42351,Newtonbrook West
429,Walter Kikhard,34 Fieldway Rd,1,1,"$2,000",43.64201,-79.52857,Islington-City Centre West
430,1398 Bloor St W ,1398 Bloor St W | Unit: TH 4,2,2,"$3,300",43.65752,-79.44742,Dovercourt-Wallace Emerson-Junction
431,Smart House,215 Queen St W,1,1,"$2,300",43.65047,-79.38772,Waterfront Communities-the Island
432,Smart House,215 Queen St W | Unit: 2506,1,1,"$2,000",43.65047,-79.38772,Waterfront Communities-the Island
433,Smart House,215 Queen St W | Unit: 2005,1,1,"$1,600",43.65047,-79.38772,Waterfront Communities-the Island
434,Smart House,215 Queen St W | Unit: 2005,1,1,"$1,700",43.65047,-79.38772,Waterfront Communities-the Island
435,Smart House,215 Queen St W | Unit: 2005,1,1,"$1,850",43.65047,-79.38772,Waterfront Communities-the Island
436,35 Bales Avenue,35 Bales Ave,1,1,"$2,150",43.76023,-79.4083,Willowdale East
437,Downtown Condos,508 Wellington St W | Unit: 307,1,1,"$1,900",43.64341,-79.39907,Waterfront Communities-the Island
438,Grenadier Landing,5 Marine Parade Dr,1,1,"$2,350",43.62974,-79.47544,Mimico
439,17 Powerhouse St,17 Powerhouse St,1,1,"$1,800",43.66976,-79.44819,Dovercourt-Wallace Emerson-Junction
440,2 Elsie Ln,2 Elsie Ln,1,1,"$1,325",43.6599231,-79.4519603,Dovercourt-Wallace Emerson-Junction
441,Lakeshore Apartments,245 Lakeshore Drive,1,1,"$2,170",46.28475,-79.45048,West Ferris
442,Lakeshore Apartments,6599 Glen Erin Dr,1,1,"$2,399",43.58404,-79.7552,Meadowvale
443,Lakeshore Apartments,6599 Glen Erin Dr,1,1,"$2,509",43.58404,-79.7552,Meadowvale
444,Lakeshore Apartments,6599 Glen Erin Dr,1,1,"$2,524",43.58404,-79.7552,Meadowvale
445,Ali Datoo,81 Brookmill Blvd | Unit: 81,1,1,$795,43.80181,-79.31321,L'Amoreaux
446,Bohemian Embassy,1171 Queen St W,1,1,"$2,575",43.64234,-79.42594,Little Portugal
447,18 Ionview Rd,18 Ionview Rd,1,1,"$1,900",43.73291,-79.27212,Ionview
448,208 McCaul St ,208 McCaul St | Unit: Main floor,1,1,"$1,880",43.65721,-79.39289,Kensington-Chinatown
449,Renovated Victorian Duplex,208 McCaul St | Unit: main floor,1,1,"$5,550",43.65721,-79.39289,Kensington-Chinatown
450,46 Cavell Ave,46 Cavell Ave,1,1,"$1,895",43.61774,-79.49348,Mimico
451,KINGLYCONDOS,501 Adelaide St W | Unit: 810,2,2,"$2,650",43.64539,-79.40137,Waterfront Communities-the Island
452,Lawrence Ave. East/Kingston Road,10 Rodda Blvd,1,1,"$1,200",43.76855,-79.19169,West Hill
453,Lawrence Ave. East/Kingston Road,10 Rodda Blvd,2,2,"$3,000",43.76855,-79.19169,West Hill
454,59 E Liberty St,59 E Liberty St,1,1,"$1,950",43.63843,-79.41354,Niagara
455,18 Harbour St ,18 Harbour St | Unit: 1706,1,1,"$2,350",43.64275,-79.37692,Waterfront Communities-the Island
456,39 Sherbourne St ,39 Sherbourne St | Unit: 1502,1,1,"$2,400",43.65101,-79.36793,Moss Park
457,30 Church St ,30 Church St | Unit: 401,3,3,"$4,900",43.15842,-79.24814,Downtown
458,30 Church St ,30 Church St | Unit: 501,2.5,2.5,"$3,200",43.15842,-79.24814,Downtown
459,Elm Place,222 Elm St,1,1,"$1,100",43.65612,-79.39184,Kensington-Chinatown
464,130 Raglan Avenue,130 Raglan Avenue,1,1,"$2,129",43.68692,-79.42146,Humewood-Cedarvale
465,488 University Ave ,488 University Ave | Unit: 05,2,2,"$3,400",43.65505,-79.38903,Kensington-Chinatown
466,488 University Ave ,488 University Ave | Unit: 4403,2,2,"$2,900",43.65505,-79.38903,Kensington-Chinatown
467,Lilia Merkoulovitch,36 Senlac Rd,4.5,4.5,"$7,500",43.76101,-79.42367,Lansing-Westgate
468,The Garrison,169 Fort York Blvd,1,1,"$1,750",43.63839,-79.40106,Niagara
469,200 Clinton St,200 Clinton St,2.5,2.5,"$6,000",43.65934,-79.41607,Palmerston-Little Italy
470,VIDA,621 Sheppard Ave E | Unit: 358,1,1,"$2,100",43.76801,-79.38085,Bayview Village
471,Massey Towers,197 Yonge St | Unit: #5100,2,2,"$3,700",43.65334,-79.37933,Church-Yonge Corridor
472,27 Hammersmith Ave ,27 Hammersmith Ave | Unit: 27B UPPER,1,1,"$3,850",43.66931,-79.29336,The Beaches
474,6 Bushwood Ct,6 Bushwood Ct,1,1,"$1,850",43.80509,-79.20273,Malvern
475,1185 The Queensway,1185 The Queensway,1,1,"$2,300",43.62177,-79.52167,Islington-City Centre West
476,376 Hwy 7 ,376 Hwy 7 | Unit: ph07,1,1,"$1,900",43.8324096,-79.4380912,Richvale
